id_direccion,id_master,pais,direccion_completa,componente_via,componente_localidad,componente_region
ADR_PAMADI_13082008F_062023_01,PAMADI_13082008F_062023,espana,"Avenida Reforma 9271, Barcelona, Cataluna",Avenida Reforma 9271,Barcelona,Cataluna
ADR_MAPEGA_08081981F_082023_01,MAPEGA_08081981F_082023,espana,"Calle Reforma 1739, Madrid, Cataluna",Calle Reforma 1739,Madrid,Cataluna
ADR_DAMASA_01041985M_082021_01,DAMASA_01041985M_082021,espana,"Calle Reforma 6863, Barcelona, Valencia",Calle Reforma 6863,Barcelona,Valencia
ADR_MAMAHE_04091945M_082020_01,MAMAHE_04091945M_082020,espana,"Ronda Central 3617, Zaragoza, Madrid",Ronda Central 3617,Zaragoza,Madrid
ADR_ALPELO_10082001M_102023_01,ALPELO_10082001M_102023,espana,"Avenida Sur 3407, Sevilla, Madrid",Avenida Sur 3407,Sevilla,Madrid
ADR_MIROPE_16042003M_032021_01,MIROPE_16042003M_032021,espana,"Paseo Norte 4584, Barcelona, Cataluna",Paseo Norte 4584,Barcelona,Cataluna
ADR_CAROJI_16071935M_092020_01,CAROJI_16071935M_092020,espana,"Ronda Independencia 3318, Valencia, Cataluna",Ronda Independencia 3318,Valencia,Cataluna
ADR_PARUFE_18081968F_032023_01,PARUFE_18081968F_032023,espana,"Avenida Salud 8339, Barcelona, Cataluna",Avenida Salud 8339,Barcelona,Cataluna
ADR_DAGAGO_03091978M_052023_01,DAGAGO_03091978M_052023,espana,"Avenida Central 1218, Valencia, Valencia",Avenida Central 1218,Valencia,Valencia
ADR_DAROFE_12071992M_082023_01,DAROFE_12071992M_082023,espana,"Ronda Reforma 9995, Sevilla, Valencia",Ronda Reforma 9995,Sevilla,Valencia
ADR_ANGASA_28031996M_102023_01,ANGASA_28031996M_102023,espana,"Paseo Reforma 5440, Barcelona, Valencia",Paseo Reforma 5440,Barcelona,Valencia
ADR_CLFESA_16091976F_102023_01,CLFESA_16091976F_102023,espana,"Calle Salud 824, Madrid, Aragon",Calle Salud 824,Madrid,Aragon
ADR_ELFEJI_16021998F_102023_01,ELFEJI_16021998F_102023,espana,"Ronda Salud 4948, Zaragoza, Aragon",Ronda Salud 4948,Zaragoza,Aragon
ADR_NUHEGA_31051970F_122021_01,NUHEGA_31051970F_122021,espana,"Avenida Central 707, Madrid, Cataluna",Avenida Central 707,Madrid,Cataluna
ADR_MASAMA_11121969F_072020_01,MASAMA_11121969F_072020,espana,"Ronda Salud 7125, Sevilla, Aragon",Ronda Salud 7125,Sevilla,Aragon
ADR_MIGOPE_14121979M_102020_01,MIGOPE_14121979M_102020,espana,"Paseo Norte 6658, Zaragoza, Aragon",Paseo Norte 6658,Zaragoza,Aragon
ADR_CAFEGO_14032007M_102020_01,CAFEGO_14032007M_102020,espana,"Paseo Central 7214, Barcelona, Valencia",Paseo Central 7214,Barcelona,Valencia
ADR_SEMAMA_27121964M_032022_01,SEMAMA_27121964M_032022,espana,"Avenida Sur 2134, Zaragoza, Andalucia",Avenida Sur 2134,Zaragoza,Andalucia
ADR_MARUFE_09041970F_052023_01,MARUFE_09041970F_052023,espana,"Ronda Norte 6280, Barcelona, Valencia",Ronda Norte 6280,Barcelona,Valencia
ADR_LUFEGA_04062015F_122021_01,LUFEGA_04062015F_122021,espana,"Ronda Independencia 5214, Barcelona, Valencia",Ronda Independencia 5214,Barcelona,Valencia
ADR_ELHEGO_28081976F_112021_01,ELHEGO_28081976F_112021,espana,"Calle Independencia 7430, Madrid, Cataluna",Calle Independencia 7430,Madrid,Cataluna
ADR_SEPESA_22121973M_032023_01,SEPESA_22121973M_032023,espana,"Ronda Salud 5308, Madrid, Valencia",Ronda Salud 5308,Madrid,Valencia
ADR_ANMAMA_20041965M_102020_01,ANMAMA_20041965M_102020,espana,"Paseo Salud 8154, Zaragoza, Madrid",Paseo Salud 8154,Zaragoza,Madrid
ADR_SEMARU_26081989M_112023_01,SEMARU_26081989M_112023,espana,"Ronda Salud 1860, Sevilla, Cataluna",Ronda Salud 1860,Sevilla,Cataluna
ADR_PARULO_15051994M_012023_01,PARULO_15051994M_012023,espana,"Paseo Independencia 5199, Madrid, Valencia",Paseo Independencia 5199,Madrid,Valencia
ADR_MIROMA_08011969M_062023_01,MIROMA_08011969M_062023,espana,"Ronda Independencia 7169, Madrid, Aragon",Ronda Independencia 7169,Madrid,Aragon
ADR_LUSAMA_02091984F_052020_01,LUSAMA_02091984F_052020,espana,"Ronda Central 4554, Madrid, Andalucia",Ronda Central 4554,Madrid,Andalucia
ADR_LUPEDI_05051957F_122021_01,LUPEDI_05051957F_122021,espana,"Avenida Independencia 7180, Zaragoza, Cataluna",Avenida Independencia 7180,Zaragoza,Cataluna
ADR_RADIRO_23091999M_052021_01,RADIRO_23091999M_052021,espana,"Paseo Salud 8999, Barcelona, Valencia",Paseo Salud 8999,Barcelona,Valencia
ADR_LAGOLO_24021966F_112021_01,LAGOLO_24021966F_112021,espana,"Calle Salud 2215, Madrid, Aragon",Calle Salud 2215,Madrid,Aragon
ADR_MARUGO_13071985F_022023_01,MARUGO_13071985F_022023,espana,"Avenida Norte 1694, Valencia, Aragon",Avenida Norte 1694,Valencia,Aragon
ADR_ANGAMA_02041995M_072023_01,ANGAMA_02041995M_072023,espana,"Avenida Salud 8797, Valencia, Valencia",Avenida Salud 8797,Valencia,Valencia
ADR_ALLOMA_28121986M_042022_01,ALLOMA_28121986M_042022,espana,"Paseo Salud 8061, Zaragoza, Valencia",Paseo Salud 8061,Zaragoza,Valencia
ADR_CXGASA_22041992F_052023_01,CXGASA_22041992F_052023,espana,"Ronda Sur 787, Barcelona, Andalucia",Ronda Sur 787,Barcelona,Andalucia
ADR_LURURU_26021945F_032023_01,LURURU_26021945F_032023,espana,"Avenida Independencia 8293, Sevilla, Cataluna",Avenida Independencia 8293,Sevilla,Cataluna
ADR_MADIMA_12031981M_082021_01,MADIMA_12031981M_082021,espana,"Ronda Norte 7794, Valencia, Cataluna",Ronda Norte 7794,Valencia,Cataluna
ADR_CASADI_31031946M_032020_01,CASADI_31031946M_032020,espana,"Calle Reforma 1429, Sevilla, Aragon",Calle Reforma 1429,Sevilla,Aragon
ADR_ISLOFE_05011983F_042023_01,ISLOFE_05011983F_042023,espana,"Calle Independencia 3584, Barcelona, Madrid",Calle Independencia 3584,Barcelona,Madrid
ADR_SEFEGO_30032006M_052022_01,SEFEGO_30032006M_052022,espana,"Avenida Reforma 4081, Sevilla, Cataluna",Avenida Reforma 4081,Sevilla,Cataluna
ADR_MALORO_18071981M_122023_01,MALORO_18071981M_122023,espana,"Avenida Sur 7142, Madrid, Cataluna",Avenida Sur 7142,Madrid,Cataluna
ADR_MAGOMA_31011951F_032021_01,MAGOMA_31011951F_032021,espana,"Calle Central 1052, Sevilla, Madrid",Calle Central 1052,Sevilla,Madrid
ADR_ALDIGA_10051965M_032023_01,ALDIGA_10051965M_032023,espana,"Ronda Norte 5825, Valencia, Madrid",Ronda Norte 5825,Valencia,Madrid
ADR_MIDIRU_20101993M_022021_01,MIDIRU_20101993M_022021,espana,"Ronda Norte 8296, Zaragoza, Valencia",Ronda Norte 8296,Zaragoza,Valencia
ADR_IRLOMA_17021990F_082023_01,IRLOMA_17021990F_082023,espana,"Calle Reforma 3623, Zaragoza, Aragon",Calle Reforma 3623,Zaragoza,Aragon
ADR_CAROSA_24102005F_012023_01,CAROSA_24102005F_012023,espana,"Paseo Reforma 5391, Valencia, Andalucia",Paseo Reforma 5391,Valencia,Andalucia
ADR_LAJIPE_10011964F_122021_01,LAJIPE_10011964F_122021,espana,"Avenida Norte 5793, Zaragoza, Valencia",Avenida Norte 5793,Zaragoza,Valencia
ADR_PAHERU_22011969F_032023_01,PAHERU_22011969F_032023,espana,"Ronda Independencia 7788, Madrid, Andalucia",Ronda Independencia 7788,Madrid,Andalucia
ADR_MIMALO_16112003M_012023_01,MIMALO_16112003M_012023,espana,"Ronda Norte 7132, Barcelona, Andalucia",Ronda Norte 7132,Barcelona,Andalucia
ADR_IRRULO_18081962F_052022_01,IRRULO_18081962F_052022,espana,"Calle Norte 5637, Valencia, Cataluna",Calle Norte 5637,Valencia,Cataluna
ADR_CLHEMA_28032016F_122023_01,CLHEMA_28032016F_122023,espana,"Paseo Sur 7918, Valencia, Madrid",Paseo Sur 7918,Valencia,Madrid
ADR_CASAPE_25091973M_112021_01,CASAPE_25091973M_112021,espana,"Calle Reforma 2893, Zaragoza, Aragon",Calle Reforma 2893,Zaragoza,Aragon
ADR_MXDIRU_29062007M_082023_01,MXDIRU_29062007M_082023,espana,"Avenida Central 4868, Zaragoza, Madrid",Avenida Central 4868,Zaragoza,Madrid
ADR_LARORU_29011991F_092022_01,LARORU_29011991F_092022,espana,"Avenida Salud 4438, Sevilla, Andalucia",Avenida Salud 4438,Sevilla,Andalucia
ADR_MIPESA_22061992M_062023_01,MIPESA_22061992M_062023,espana,"Avenida Salud 7960, Madrid, Andalucia",Avenida Salud 7960,Madrid,Andalucia
ADR_ANPERU_05102006M_052021_01,ANPERU_05102006M_052021,espana,"Paseo Salud 8824, Valencia, Cataluna",Paseo Salud 8824,Valencia,Cataluna
ADR_JAPEJI_09121985M_022020_01,JAPEJI_09121985M_022020,espana,"Ronda Central 3913, Madrid, Aragon",Ronda Central 3913,Madrid,Aragon
ADR_CAGASA_24011979F_112020_01,CAGASA_24011979F_112020,espana,"Avenida Independencia 3006, Valencia, Cataluna",Avenida Independencia 3006,Valencia,Cataluna
ADR_ISGOSA_25081996F_062023_01,ISGOSA_25081996F_062023,espana,"Calle Salud 803, Barcelona, Madrid",Calle Salud 803,Barcelona,Madrid
ADR_DXMADI_06021945M_092023_01,DXMADI_06021945M_092023,espana,"Ronda Central 293, Valencia, Aragon",Ronda Central 293,Valencia,Aragon
ADR_RAGOGA_17062025M_042021_01,RAGOGA_17062025M_042021,espana,"Paseo Independencia 3091, Madrid, Cataluna",Paseo Independencia 3091,Madrid,Cataluna
ADR_ALMAFE_06021991M_022021_01,ALMAFE_06021991M_022021,espana,"Calle Sur 909, Valencia, Aragon",Calle Sur 909,Valencia,Aragon
ADR_CARUGO_16082011F_022023_01,CARUGO_16082011F_022023,espana,"Avenida Reforma 2348, Madrid, Valencia",Avenida Reforma 2348,Madrid,Valencia
ADR_MIROJI_09011971M_042023_01,MIROJI_09011971M_042023,espana,"Avenida Central 2173, Sevilla, Andalucia",Avenida Central 2173,Sevilla,Andalucia
ADR_CAGODI_02102012F_032023_01,CAGODI_02102012F_032023,espana,"Ronda Sur 8924, Valencia, Andalucia",Ronda Sur 8924,Valencia,Andalucia
ADR_ANPEHE_03071952M_042021_01,ANPEHE_03071952M_042021,espana,"Ronda Central 9986, Zaragoza, Aragon",Ronda Central 9986,Zaragoza,Aragon
ADR_MARULO_14061988F_032023_01,MARULO_14061988F_032023,espana,"Calle Norte 694, Madrid, Madrid",Calle Norte 694,Madrid,Madrid
ADR_MILOXX_23041984M_072023_01,MILOXX_23041984M_072023,espana,"Paseo Salud 1110, Madrid, Valencia",Paseo Salud 1110,Madrid,Valencia
ADR_LAGOHE_23091994F_052021_01,LAGOHE_23091994F_052021,espana,"Ronda Independencia 7905, Madrid, Cataluna",Ronda Independencia 7905,Madrid,Cataluna
ADR_ANLOGA_28081956M_122023_01,ANLOGA_28081956M_122023,espana,"Calle Sur 1100, Zaragoza, Madrid",Calle Sur 1100,Zaragoza,Madrid
ADR_MIPEGO_23041988M_082023_01,MIPEGO_23041988M_082023,espana,"Calle Reforma 1126, Sevilla, Madrid",Calle Reforma 1126,Sevilla,Madrid
ADR_MIGAGA_24082006M_062022_01,MIGAGA_24082006M_062022,espana,"Avenida Norte 680, Barcelona, Andalucia",Avenida Norte 680,Barcelona,Andalucia
ADR_CAGOSA_28032015F_112022_01,CAGOSA_28032015F_112022,espana,"Calle Salud 306, Madrid, Cataluna",Calle Salud 306,Madrid,Cataluna
ADR_CXMAGO_13091998M_112020_01,CXMAGO_13091998M_112020,espana,"Ronda Independencia 9775, Madrid, Valencia",Ronda Independencia 9775,Madrid,Valencia
ADR_LALOGA_26051985F_112020_01,LALOGA_26051985F_112020,espana,"Calle Salud 7299, Madrid, Andalucia",Calle Salud 7299,Madrid,Andalucia
ADR_LASAGA_07051962F_052020_01,LASAGA_07051962F_052020,espana,"Avenida Central 5227, Zaragoza, Andalucia",Avenida Central 5227,Zaragoza,Andalucia
ADR_ISROGA_31081998F_052025_01,ISROGA_31081998F_052025,espana,"Calle Reforma 2825, Zaragoza, Aragon",Calle Reforma 2825,Zaragoza,Aragon
ADR_MADIMA_02102015F_042023_01,MADIMA_02102015F_042023,espana,"Avenida Salud 8982, Barcelona, Cataluna",Avenida Salud 8982,Barcelona,Cataluna
ADR_MAHEPE_03112010F_102022_01,MAHEPE_03112010F_102022,espana,"Calle Reforma 4808, Sevilla, Cataluna",Calle Reforma 4808,Sevilla,Cataluna
ADR_IRFERU_11081977F_082020_01,IRFERU_11081977F_082020,espana,"Ronda Sur 5457, Madrid, Cataluna",Ronda Sur 5457,Madrid,Cataluna
ADR_LURUMA_26041969F_022022_01,LURUMA_26041969F_022022,espana,"Ronda Independencia 6479, Madrid, Madrid",Ronda Independencia 6479,Madrid,Madrid
ADR_IRLOLO_07081951F_082023_01,IRLOLO_07081951F_082023,espana,"Avenida Sur 426, Sevilla, Cataluna",Avenida Sur 426,Sevilla,Cataluna
ADR_RAMARU_11111992M_052021_01,RAMARU_11111992M_052021,espana,"Ronda Reforma 6858, Madrid, Andalucia",Ronda Reforma 6858,Madrid,Andalucia
ADR_MAMAXX_19071982M_092023_01,MAMAXX_19071982M_092023,espana,"Paseo Salud 3370, Madrid, Madrid",Paseo Salud 3370,Madrid,Madrid
ADR_IRJIJI_26041989F_082021_01,IRJIJI_26041989F_082021,espana,"Ronda Salud 1067, Sevilla, Valencia",Ronda Salud 1067,Sevilla,Valencia
ADR_ANRORO_14071989M_082022_01,ANRORO_14071989M_082022,espana,"Calle Reforma 9130, Sevilla, Cataluna",Calle Reforma 9130,Sevilla,Cataluna
ADR_MAGAMA_11011958F_112021_01,MAGAMA_11011958F_112021,espana,"Ronda Independencia 2963, Barcelona, Valencia",Ronda Independencia 2963,Barcelona,Valencia
ADR_ANRULO_01011992M_032022_01,ANRULO_01011992M_032022,espana,"Avenida Salud 4694, Zaragoza, Madrid",Avenida Salud 4694,Zaragoza,Madrid
ADR_DASADI_26101995M_022023_01,DASADI_26101995M_022023,espana,"Avenida Central 3935, Barcelona, Aragon",Avenida Central 3935,Barcelona,Aragon
ADR_MAROFE_16042001M_092021_01,MAROFE_16042001M_092021,espana,"Avenida Sur 5143, Zaragoza, Aragon",Avenida Sur 5143,Zaragoza,Aragon
ADR_ELHERO_21091963F_102023_01,ELHERO_21091963F_102023,espana,"Paseo Independencia 6584, Sevilla, Aragon",Paseo Independencia 6584,Sevilla,Aragon
ADR_ISHEGO_17051980F_122022_01,ISHEGO_17051980F_122022,espana,"Ronda Sur 2446, Valencia, Valencia",Ronda Sur 2446,Valencia,Valencia
ADR_NUHESA_08071986F_062020_01,NUHESA_08071986F_062020,espana,"Paseo Salud 6770, Sevilla, Cataluna",Paseo Salud 6770,Sevilla,Cataluna
ADR_DAROHE_02021996M_092020_01,DAROHE_02021996M_092020,espana,"Paseo Sur 7002, Valencia, Andalucia",Paseo Sur 7002,Valencia,Andalucia
ADR_DAFELO_06041962M_102020_01,DAFELO_06041962M_102020,espana,"Calle Salud 4340, Madrid, Andalucia",Calle Salud 4340,Madrid,Andalucia
ADR_ANRURU_30061996M_112020_01,ANRURU_30061996M_112020,espana,"Ronda Salud 2541, Zaragoza, Madrid",Ronda Salud 2541,Zaragoza,Madrid
ADR_MAJIRU_03111956F_022023_01,MAJIRU_03111956F_022023,espana,"Ronda Independencia 1169, Zaragoza, Cataluna",Ronda Independencia 1169,Zaragoza,Cataluna
ADR_DAMAPE_13091975M_062022_01,DAMAPE_13091975M_062022,espana,"Paseo Independencia 7831, Zaragoza, Cataluna",Paseo Independencia 7831,Zaragoza,Cataluna
ADR_ANSAGO_23041979M_052023_01,ANSAGO_23041979M_052023,espana,"Calle Sur 887, Zaragoza, Andalucia",Calle Sur 887,Zaragoza,Andalucia
ADR_SAMAGA_15011985F_122022_01,SAMAGA_15011985F_122022,espana,"Paseo Reforma 1151, Barcelona, Valencia",Paseo Reforma 1151,Barcelona,Valencia
ADR_PAGAHE_14081934M_042022_01,PAGAHE_14081934M_042022,espana,"Avenida Sur 9711, Madrid, Aragon",Avenida Sur 9711,Madrid,Aragon
ADR_ALGOGA_02051997M_012020_01,ALGOGA_02051997M_012020,espana,"Avenida Norte 6917, Zaragoza, Madrid",Avenida Norte 6917,Zaragoza,Madrid
ADR_RAFEGA_16121993M_052020_01,RAFEGA_16121993M_052020,espana,"Calle Salud 2888, Madrid, Cataluna",Calle Salud 2888,Madrid,Cataluna
ADR_CAPEHE_25081987M_052023_01,CAPEHE_25081987M_052023,espana,"Paseo Reforma 8368, Sevilla, Aragon",Paseo Reforma 8368,Sevilla,Aragon
ADR_MAMAPE_15071993M_022021_01,MAMAPE_15071993M_022021,espana,"Avenida Independencia 6908, Sevilla, Andalucia",Avenida Independencia 6908,Sevilla,Andalucia
ADR_MIGOHE_04091940M_042022_01,MIGOHE_04091940M_042022,espana,"Ronda Independencia 5585, Valencia, Cataluna",Ronda Independencia 5585,Valencia,Cataluna
ADR_NUPESA_23062003F_052022_01,NUPESA_23062003F_052022,espana,"Avenida Norte 1058, Sevilla, Valencia",Avenida Norte 1058,Sevilla,Valencia
ADR_DASAGO_27101988M_112023_01,DASAGO_27101988M_112023,espana,"Ronda Salud 935, Valencia, Madrid",Ronda Salud 935,Valencia,Madrid
ADR_DASAMA_23021945M_102023_01,DASAMA_23021945M_102023,espana,"Avenida Norte 8416, Sevilla, Andalucia",Avenida Norte 8416,Sevilla,Andalucia
ADR_MASAMA_29121943M_082021_01,MASAMA_29121943M_082021,espana,"Ronda Norte 2666, Valencia, Andalucia",Ronda Norte 2666,Valencia,Andalucia
ADR_MAGARU_24121964M_012023_01,MAGARU_24121964M_012023,espana,"Paseo Reforma 4736, Barcelona, Andalucia",Paseo Reforma 4736,Barcelona,Andalucia
ADR_ALGOXX_16071995M_042021_01,ALGOXX_16071995M_042021,espana,"Avenida Reforma 4248, Zaragoza, Madrid",Avenida Reforma 4248,Zaragoza,Madrid
ADR_LUMAGO_23101954F_042023_01,LUMAGO_23101954F_042023,espana,"Ronda Norte 6403, Barcelona, Cataluna",Ronda Norte 6403,Barcelona,Cataluna
ADR_CXMAPE_15071951M_072021_01,CXMAPE_15071951M_072021,espana,"Calle Salud 723, Sevilla, Cataluna",Calle Salud 723,Sevilla,Cataluna
ADR_PAGAMA_24101962M_062023_01,PAGAMA_24101962M_062023,espana,"Ronda Salud 8305, Valencia, Aragon",Ronda Salud 8305,Valencia,Aragon
ADR_NUMAMA_21021958F_092022_01,NUMAMA_21021958F_092022,espana,"Paseo Salud 4316, Madrid, Valencia",Paseo Salud 4316,Madrid,Valencia
ADR_CASAHE_07012024M_062022_01,CASAHE_07012024M_062022,espana,"Avenida Reforma 1482, Sevilla, Madrid",Avenida Reforma 1482,Sevilla,Madrid
ADR_SAJIGA_09081995F_032020_01,SAJIGA_09081995F_032020,espana,"Ronda Central 4376, Zaragoza, Madrid",Ronda Central 4376,Zaragoza,Madrid
ADR_PAGOGA_26082014F_062022_01,PAGOGA_26082014F_062022,espana,"Ronda Salud 8057, Sevilla, Madrid",Ronda Salud 8057,Sevilla,Madrid
ADR_RAGOMA_11041944M_012021_01,RAGOMA_11041944M_012021,espana,"Avenida Sur 7954, Madrid, Aragon",Avenida Sur 7954,Madrid,Aragon
ADR_IRGOPE_04121969F_032023_01,IRGOPE_04121969F_032023,espana,"Calle Salud 4619, Sevilla, Valencia",Calle Salud 4619,Sevilla,Valencia
ADR_ALDIPE_29102014M_012023_01,ALDIPE_29102014M_012023,espana,"Paseo Salud 9000, Madrid, Andalucia",Paseo Salud 9000,Madrid,Andalucia
ADR_ISGAMA_28091964F_062023_01,ISGAMA_28091964F_062023,espana,"Avenida Reforma 9740, Sevilla, Madrid",Avenida Reforma 9740,Sevilla,Madrid
ADR_CALOFE_16042016F_052022_01,CALOFE_16042016F_052022,espana,"Ronda Reforma 6072, Sevilla, Cataluna",Ronda Reforma 6072,Sevilla,Cataluna
ADR_ANRUJI_17081934M_092023_01,ANRUJI_17081934M_092023,espana,"Ronda Sur 8594, Madrid, Andalucia",Ronda Sur 8594,Madrid,Andalucia
ADR_DARUMA_17051975M_072021_01,DARUMA_17051975M_072021,espana,"Avenida Reforma 2263, Zaragoza, Valencia",Avenida Reforma 2263,Zaragoza,Valencia
ADR_ELGOGA_25061999F_032021_01,ELGOGA_25061999F_032021,espana,"Ronda Reforma 4137, Zaragoza, Cataluna",Ronda Reforma 4137,Zaragoza,Cataluna
ADR_CAPEHE_31122011F_032021_01,CAPEHE_31122011F_032021,espana,"Paseo Norte 2759, Zaragoza, Aragon",Paseo Norte 2759,Zaragoza,Aragon
ADR_PAHEFE_24102006M_012021_01,PAHEFE_24102006M_012021,espana,"Paseo Norte 6442, Sevilla, Aragon",Paseo Norte 6442,Sevilla,Aragon
ADR_MAMAGO_25011983F_032021_01,MAMAGO_25011983F_032021,espana,"Paseo Reforma 4627, Sevilla, Aragon",Paseo Reforma 4627,Sevilla,Aragon
ADR_IRPELO_02011944F_082020_01,IRPELO_02011944F_082020,espana,"Paseo Norte 4683, Madrid, Valencia",Paseo Norte 4683,Madrid,Valencia
ADR_PAGOGA_24041978M_032020_01,PAGOGA_24041978M_032020,espana,"Avenida Central 1037, Valencia, Cataluna",Avenida Central 1037,Valencia,Cataluna
ADR_ALROGO_28041999M_062021_01,ALROGO_28041999M_062021,espana,"Avenida Central 40, Barcelona, Cataluna",Avenida Central 40,Barcelona,Cataluna
ADR_MAJIGA_28021978F_072021_01,MAJIGA_28021978F_072021,espana,"Ronda Central 8133, Barcelona, Andalucia",Ronda Central 8133,Barcelona,Andalucia
ADR_CLRUGO_08031962F_012020_01,CLRUGO_08031962F_012020,espana,"Avenida Independencia 6862, Sevilla, Andalucia",Avenida Independencia 6862,Sevilla,Andalucia
ADR_DAFEGO_23041990M_102020_01,DAFEGO_23041990M_102020,espana,"Calle Norte 5674, Valencia, Madrid",Calle Norte 5674,Valencia,Madrid
ADR_JAFEGO_04061984M_102023_01,JAFEGO_04061984M_102023,espana,"Calle Reforma 4445, Zaragoza, Andalucia",Calle Reforma 4445,Zaragoza,Andalucia
ADR_MIHEPE_20051981M_092020_01,MIHEPE_20051981M_092020,espana,"Paseo Reforma 1842, Valencia, Aragon",Paseo Reforma 1842,Valencia,Aragon
ADR_CAPEHE_27081952F_092021_01,CAPEHE_27081952F_092021,espana,"Avenida Salud 3703, Barcelona, Valencia",Avenida Salud 3703,Barcelona,Valencia
ADR_AXGAFE_29081964M_122022_01,AXGAFE_29081964M_122022,espana,"Ronda Independencia 8335, Zaragoza, Andalucia",Ronda Independencia 8335,Zaragoza,Andalucia
ADR_ALRUGO_31101970M_032021_01,ALRUGO_31101970M_032021,espana,"Avenida Central 944, Madrid, Valencia",Avenida Central 944,Madrid,Valencia
ADR_IXSAHE_19091956F_042023_01,IXSAHE_19091956F_042023,espana,"Paseo Sur 7818, Zaragoza, Valencia",Paseo Sur 7818,Zaragoza,Valencia
ADR_SALOFE_29011966F_042023_01,SALOFE_29011966F_042023,espana,"Ronda Independencia 1517, Madrid, Cataluna",Ronda Independencia 1517,Madrid,Cataluna
ADR_NUSAHE_15061975F_072020_01,NUSAHE_15061975F_072020,espana,"Paseo Salud 4613, Madrid, Aragon",Paseo Salud 4613,Madrid,Aragon
ADR_SAROSA_02051989F_032022_01,SAROSA_02051989F_032022,espana,"Calle Central 4487, Barcelona, Madrid",Calle Central 4487,Barcelona,Madrid
ADR_NUROHE_26031977F_122020_01,NUROHE_26031977F_122020,espana,"Calle Salud 329, Zaragoza, Andalucia",Calle Salud 329,Zaragoza,Andalucia
ADR_IRGAMA_01061994F_032021_01,IRGAMA_01061994F_032021,espana,"Avenida Sur 2011, Madrid, Madrid",Avenida Sur 2011,Madrid,Madrid
ADR_DAFEFE_04121996M_012023_01,DAFEFE_04121996M_012023,espana,"Avenida Sur 7072, Zaragoza, Aragon",Avenida Sur 7072,Zaragoza,Aragon
ADR_RADIDI_27121965M_062022_01,RADIDI_27121965M_062022,espana,"Ronda Salud 9860, Sevilla, Madrid",Ronda Salud 9860,Sevilla,Madrid
ADR_ISLOSA_23121981F_082023_01,ISLOSA_23121981F_082023,espana,"Calle Central 7815, Sevilla, Andalucia",Calle Central 7815,Sevilla,Andalucia
ADR_CLGAMA_07071940F_062023_01,CLGAMA_07071940F_062023,espana,"Paseo Independencia 3288, Barcelona, Valencia",Paseo Independencia 3288,Barcelona,Valencia
ADR_MXSALO_04041974M_012023_01,MXSALO_04041974M_012023,espana,"Paseo Central 5738, Valencia, Madrid",Paseo Central 5738,Valencia,Madrid
ADR_CLLOPE_30011979F_082023_01,CLLOPE_30011979F_082023,espana,"Calle Independencia 2223, Zaragoza, Valencia",Calle Independencia 2223,Zaragoza,Valencia
ADR_ALSAFE_15052024M_042022_01,ALSAFE_15052024M_042022,espana,"Paseo Norte 7445, Zaragoza, Andalucia",Paseo Norte 7445,Zaragoza,Andalucia
ADR_MXLOSA_07011973M_012023_01,MXLOSA_07011973M_012023,espana,"Avenida Central 5539, Barcelona, Madrid",Avenida Central 5539,Barcelona,Madrid
ADR_MAGOMA_11101952F_062022_01,MAGOMA_11101952F_062022,espana,"Paseo Sur 7739, Madrid, Aragon",Paseo Sur 7739,Madrid,Aragon
ADR_ANFELO_24101971M_072023_01,ANFELO_24101971M_072023,espana,"Avenida Independencia 9413, Valencia, Valencia",Avenida Independencia 9413,Valencia,Valencia
ADR_RAPELO_23102001M_032021_01,RAPELO_23102001M_032021,espana,"Calle Reforma 1075, Barcelona, Cataluna",Calle Reforma 1075,Barcelona,Cataluna
ADR_CADIRO_05012018M_032023_01,CADIRO_05012018M_032023,espana,"Avenida Central 1660, Valencia, Andalucia",Avenida Central 1660,Valencia,Andalucia
ADR_ALJIJI_16021961M_082022_01,ALJIJI_16021961M_082022,espana,"Avenida Sur 5676, Zaragoza, Madrid",Avenida Sur 5676,Zaragoza,Madrid
ADR_MALOFE_15021973F_042023_01,MALOFE_15021973F_042023,espana,"Calle Salud 4851, Madrid, Valencia",Calle Salud 4851,Madrid,Valencia
ADR_CLMAGO_27071985F_032021_01,CLMAGO_27071985F_032021,espana,"Ronda Central 1313, Valencia, Madrid",Ronda Central 1313,Valencia,Madrid
ADR_CAPEJI_27041997F_062020_01,CAPEJI_27041997F_062020,espana,"Avenida Norte 7590, Barcelona, Aragon",Avenida Norte 7590,Barcelona,Aragon
ADR_LUROSA_12022009F_052023_01,LUROSA_12022009F_052023,espana,"Paseo Central 5007, Madrid, Cataluna",Paseo Central 5007,Madrid,Cataluna
ADR_LUGORU_03041977F_042023_01,LUGORU_03041977F_042023,espana,"Calle Sur 213, Zaragoza, Cataluna",Calle Sur 213,Zaragoza,Cataluna
ADR_CLGASA_29121937F_072023_01,CLGASA_29121937F_072023,espana,"Avenida Reforma 9600, Barcelona, Valencia",Avenida Reforma 9600,Barcelona,Valencia
ADR_JAFELO_26071945M_052023_01,JAFELO_26071945M_052023,espana,"Ronda Salud 9539, Madrid, Aragon",Ronda Salud 9539,Madrid,Aragon
ADR_NUMAPE_19011986F_062023_01,NUMAPE_19011986F_062023,espana,"Avenida Sur 5130, Zaragoza, Aragon",Avenida Sur 5130,Zaragoza,Aragon
